##############################################################
Génération 0
[[38, 4, 0.29098942755697527], [33, 4, 0.4973046918452064]] | 0.9345976851206247 | 61335 | 0
[[72, 5, 0.4104132569356375], [28, 4, 0.5984329891696117]] | 0.9343187839910752 | 68681 | 0
[[26, 3, 0.4683352441084643], [32, 5, 0.5000576843187814]] | 0.9192581229953981 | 60433 | 0
[[102, 5, 0.3514553548589582], [34, 5, 0.4065924295993582]] | 0.9053130665179194 | 131333 | 0
[[28, 2, 0.07853359668141184], [67, 5, 0.517309637700744]] | 0.894435922465486 | 129397 | 0
[[36, 3, 0.1541952507309429], [59, 3, 0.3499536795097939]] | 0.8763073490447636 | 92025 | 0
[[85, 2, 0.197272805608565], [86, 4, 0.36271604219502707]] | 0.8549714126342212 | 223188 | 0
[[72, 5, 0.11694764092571652], [74, 4, 0.49232778498600244]] | 0.8339143773532283 | 178161 | 0
[[86, 2, 0.41096628348302466], [89, 5, 0.49420488635464527]] | 0.8248500906428671 | 301269 | 0
[[41, 3, 0.42120313298539486], [86, 4, 0.45193566388595663]] | 0.809231627388091 | 162541 | 0
[[41, 4, 0.03708051922899864], [106, 4, 0.33595713593808135]] | 0.8033747036675498 | 200508 | 0
[[61, 4, 0.4378908060608317], [50, 5, 0.34654019532197405]] | 0.799330637289081 | 138834 | 0
[[27, 4, 0.164756047238904], [60, 2, 0.4572329894000225]] | 0.7855250313763771 | 80698 | 0
[[47, 3, 0.20983650685892827], [73, 5, 0.30030142246073577]] | 0.775066239018268 | 176008 | 0
[[54, 5, 0.10056635231417932], [77, 5, 0.4474291070929143]] | 0.76725700739088 | 200043 | 0
[[93, 5, 0.4965652020109325], [41, 2, 0.24081726220480043]] | 0.7494073350997071 | 68229 | 0
[[100, 5, 0.15036373737472206], [64, 5, 0.2498459550071438]] | 0.7427137079905174 | 241417 | 0
[[36, 3, 0.12428964968941175], [28, 2, 0.12497799685132588]] | 0.7277924975596152 | 38873 | 0
[[101, 2, 0.04942596026488486], [206, 3, 0.32176126646572595]] | 0.7276530469948403 | 440954 | 0
[[67, 3, 0.20955485849428737], [59, 5, 0.5327593456241155]] | 0.7170548040719565 | 172106 | 0
[[123, 3, 0.29952666083799556], [115, 4, 0.3983947668530514]] | 0.7064565611490726 | 369041 | 0
[[102, 5, 0.23877788669339775], [79, 4, 0.5089454664372897]] | 0.6929298563659183 | 228821 | 0
[[42, 2, 0.552123114061281], [82, 2, 0.5110849615554083]] | 0.6823316134430344 | 114791 | 0
[[47, 3, 0.4271897965386739], [59, 4, 0.09644900645994593]] | 0.6696416120485288 | 117409 | 0
[[82, 5, 0.08741368853540894], [102, 5, 0.14845729473255498]] | 0.6589039185608702 | 336677 | 0
[[109, 5, 0.31564635535300206], [65, 5, 0.06902234672592537]] | 0.6561149072653745 | 260022 | 0
[[66, 5, 0.29182878751595337], [132, 3, 0.27157468370638077]] | 0.64258820248222 | 242377 | 0
[[59, 2, 0.22561201886051602], [40, 3, 0.13634522532886237]] | 0.6418909496583461 | 70798 | 0
[[124, 3, 0.5064870968395373], [80, 5, 0.29544099932169376]] | 0.641333147399247 | 347753 | 0
[[50, 2, 0.02703022403214552], [202, 5, 0.5894672434934378]] | 0.6363129270673547 | 500931 | 0
[[84, 4, 0.14018142854080945], [59, 5, 0.22672425598631119]] | 0.6230651234137499 | 197973 | 0
[[113, 2, 0.434286165364919], [62, 3, 0.32636576139107526]] | 0.6213917166364524 | 140006 | 0
[[114, 4, 0.4943420865181812], [102, 4, 0.3673253465243203]] | 0.6195788592943802 | 313495 | 0
[[59, 2, 0.31401008869053165], [127, 3, 0.2505754615527745]] | 0.6126063310556408 | 223831 | 0
[[96, 3, 0.3444272709822394], [67, 2, 0.20006790055878354]] | 0.5901547901269 | 109181 | 0
[[121, 4, 0.4538761732079616], [36, 2, 0.05814899703009393]] | 0.5890391856087017 | 63956 | 0
[[111, 2, 0.0989482516367759], [48, 4, 0.10503778370696246]] | 0.5795565472040162 | 144994 | 0
[[54, 3, 0.40421343349913064], [135, 3, 0.3155683110495976]] | 0.5776042392971692 | 232063 | 0
[[73, 3, 0.3552253319565353], [99, 4, 0.5406156997919714]] | 0.5624041277367173 | 238105 | 0
[[85, 3, 0.28891416822177546], [155, 2, 0.06529312227281948]] | 0.5448333565750941 | 244085 | 0
[[70, 5, 0.1423827158404982], [224, 2, 0.5162104000517801]] | 0.5391158834193278 | 339777 | 0
[[103, 4, 0.12155208302274242], [90, 4, 0.03738796474060879]] | 0.5354901687351834 | 260822 | 0
[[88, 5, 0.18957945983375804], [171, 2, 0.15228842338347495]] | 0.5272625854134709 | 272669 | 0
[[55, 4, 0.4259228017964102], [98, 5, 0.5190821176537842]] | 0.5165248919258123 | 256164 | 0
[[103, 5, 0.09351202969295526], [221, 4, 0.09582582906119057]] | 0.5028587365778832 | 638505 | 0
[[39, 4, 0.5006482558831573], [204, 2, 0.18060312138551363]] | 0.48737972388788176 | 283102 | 0
[[62, 2, 0.551180649104663], [112, 2, 0.5688149111351238]] | 0.4837540092037373 | 165771 | 0
[[97, 3, 0.5558363449082786], [61, 2, 0.16982655094469232]] | 0.48152280016734067 | 99765 | 0
[[27, 4, 0.47998438478492644], [175, 5, 0.14281262610619574]] | 0.48068609677869195 | 333563 | 0
[[92, 4, 0.19155333413687067], [224, 4, 0.4315398759055521]] | 0.47957049226049364 | 606573 | 0
[[122, 3, 0.45797802358543543], [179, 4, 0.44617211901971493]] | 0.4635336773113931 | 570709 | 0
